"biz_rest.business_id" "biz_rest.state" "biz_rest.name" "biz_rest.stars" "biz_rest.longitude" "biz_rest.latitude" "biz_rest.attributes.RestaurantsTakeOut" "biz_rest.attributes.RestaurantsReservations" "biz_rest.attributes.WiFi" "biz_rest.attributes.Caters" "biz_rest.review_count" "biz_rest.hours.Monday" "biz_rest.hours.Tuesday" "biz_rest.hours.Wednesday" "biz_rest.hours.Thursday" "biz_rest.hours.Friday" "biz_rest.hours.Saturday" "biz_rest.hours.Sunday" "num_checkins"
"372" "-9y6MruLgFTNrl11SQRPFA" "EDH" "Soderberg" 4 -3.1934901595 55.9438171672 TRUE TRUE "no" FALSE 8 "8:00-18:00" "8:00-18:00" "8:00-18:00" "8:00-18:00" "8:00-18:00" "10:00-16:00" "11:00-16:00" 13
"375" "-9YyInW1wapzdNZrhQJ9dg" "NV" "Fresh Buffet" 2.5 -115.1512526 36.1362575 FALSE FALSE "no" FALSE 160 "17:00-21:00" "17:00-21:00" "17:00-21:00" "17:00-22:00" "17:00-22:00" "17:00-22:00" "7:00-22:00" 356
"377" "-A4suUjxa7gNaiUMDjO42g" "IL" "Farmhouse Restaurant At Harvest Market" 3.5 -88.2458691 40.0903203 TRUE FALSE "free" FALSE 7 "6:00-23:00" "6:00-23:00" "6:00-23:00" "6:00-23:00" "6:00-23:00" "6:00-23:00" "6:00-23:00" 10
"381" "-a6tEeSq2YJyJNqq6TyMlA" "ON" "Hamaru Sushi" 4 -79.4148279 43.7778627 TRUE TRUE "no" TRUE 26 "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" "12:00-23:00" 31
"384" "-a857YYdjzgOdOjFFRsRXQ" "NV" "Beer Park" 3.5 -115.172425389 36.1119930831 TRUE TRUE "free" TRUE 260 "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-0:00" "11:00-2:00" "11:00-2:00" "11:00-23:00" 663
"391" "-AD5PiuJHgdUcAK-Vxao2A" "NV" "Smashburger" 3.5 -115.1377851 36.1036793 TRUE FALSE "no" FALSE 265 "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" 1750
"411" "-aMC2Dy2rqHicz9HjmXimA" "NC" "Mattie's Diner" 4 -80.846624 35.240652 TRUE FALSE "no" FALSE 165 "11:00-15:00" "9:00-21:00" "9:00-21:00" "9:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-21:00" 715
"413" "-aMU1eiKsQcWY8zot1HT2w" "ON" "The Star Fastfood" 2.5 -79.6595320478 43.567427862 TRUE FALSE "no" FALSE 6 "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" "9:00-21:00" 91
"419" "-aqb_GgAbEIOdhbY0UDKog" "AZ" "Relish Burger Bistro" 4 -111.948179381 33.5057825427 TRUE TRUE "no" FALSE 101 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" 368
"428" "-av1lZI1JDY_RZN2eTMnWg" "ON" "Salad King Restaurant" 3.5 -79.3817284 43.6576479 TRUE TRUE "no" TRUE 778 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "12:00-23:00" "12:00-21:00" 1513
"429" "-AVRReI-nfsa0lKlehEojw" "ON" "Sushi Bar" 3 -79.3500542 43.6586245 TRUE TRUE "no" TRUE 44 "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" "11:30-23:00" 101
"450" "-b94nkPVLQw95zgtDhcpYA" "ON" "The Works Gourmet Burger Bistro" 3.5 -79.3738547 43.6484924 TRUE FALSE "free" TRUE 135 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" 187
"457" "-Bb3kfdHIX1qm2RvtHnOTQ" "NC" "Jimmy John's" 3 -80.702461 35.128028 TRUE FALSE "no" TRUE 16 "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" "11:00-21:00" 42
"461" "-bd4BQcl1ekgo7avaFngIw" "AZ" "Eggstasy" 3.5 -111.931219501 33.5825076235 TRUE TRUE "free" FALSE 500 "6:30-15:00" "6:30-15:00" "6:30-15:00" "6:30-15:00" "6:30-15:00" "6:30-15:00" "6:30-15:00" 1023
"467" "-Bf8BQ3yMk8U2f45r2DRKw" "NV" "In-N-Out Burger" 4 -115.2465134 36.1956632 TRUE FALSE "no" FALSE 140 "10:30-1:00" "10:30-1:00" "10:30-1:00" "10:30-1:00" "10:30-1:30" "10:30-1:30" "10:30-1:00" 1836
"472" "-Biboxy2pG3MovBOF_r4SQ" "OH" "Perkins Restaurant & Bakery" 2.5 -81.8240395188 41.3728444865 TRUE FALSE "no" FALSE 29 "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" "0:00-0:00" 72
"474" "-bJ6Y5QmO8Uvc383xjC-OA" "ON" "The Monarch Tavern" 4 -79.4136736854 43.6540394837 FALSE TRUE "free" TRUE 29 "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "13:00-2:00" 77
"477" "-bKnO1BwkwXJFNLr72GECA" "NC" "Bruegger's Bagels" 3.5 -80.8424884 35.2253172 TRUE FALSE "free" TRUE 35 "6:30-17:00" "6:30-17:00" "6:30-17:00" "6:30-17:00" "6:30-17:00" "7:00-16:00" "7:00-16:00" 219
"480" "-BmqghX1sv7sgsxOIS2yAg" "NV" "Merkato Ethiopian Cafe" 4 -115.144848 36.1216467 TRUE FALSE "no" FALSE 186 "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" 456
"481" "-bMZCfTK7fxFaURynKpBMA" "AZ" "Mariscos Playa Hermosa" 4.5 -112.047312 33.4575086 TRUE TRUE "free" TRUE 400 "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-21:00" "10:00-22:00" "10:00-22:00" "10:00-22:00" 1609
"492" "-brx5K_-S5UEdm3aOP6lSA" "ON" "Wimpy's Diner" 4 -79.4614599997 44.0587001842 TRUE FALSE "no" FALSE 10 "7:00-21:00" "7:00-21:00" "7:00-21:00" "7:00-21:00" "7:00-21:00" "7:00-21:00" "7:00-21:00" 15
"505" "-Bv-HHUs8aHzDrdWcZHn8w" "NV" "Smashburger" 3 -115.1750576 36.1161559 TRUE FALSE "free" FALSE 59 "9:00-23:00" "9:00-23:00" "9:00-23:00" "9:00-23:00" "9:00-4:30" "9:00-4:30" "9:00-23:00" 30
"511" "-BxWyEIQ6wypT-37MzZizQ" "AZ" "Carly's Bistro" 4 -112.0715434 33.4588267 TRUE FALSE "free" FALSE 353 "10:30-0:00" "10:30-0:00" "10:30-0:00" "10:30-0:00" "10:30-2:00" "10:00-2:00" "10:00-0:00" 1837
"525" "-CbDQXiuKzPQ0_jiUz03aw" "NV" "Taiga Modern Japanese & Thai Restaurant" 4 -115.1067983 36.0719464 TRUE TRUE "no" FALSE 51 "11:30-22:00" "11:30-22:00" "11:30-22:00" "11:30-22:00" "11:30-22:00" "12:00-22:00" "12:30-22:00" 371
"527" "-cBQKodqi77Q0vk-9iDvQA" "AZ" "Fat Tuesday" 3.5 -111.940225132 33.4238124118 TRUE FALSE "free" FALSE 170 "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "11:00-2:00" "12:00-2:00" "12:00-2:00" 1622
"536" "-CfFjcCcGGDM9MVH_d42RQ" "AZ" "The Ivy" 4 -111.8750213 33.2762744 TRUE TRUE "free" TRUE 220 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-0:00" "9:00-0:00" "9:00-21:00" 592
"540" "-Cgs8OSZkwYQmD9CTRjpDQ" "BW" "Tower 66" 3.5 9.0041493927 48.6920959763 TRUE TRUE "free" TRUE 48 "17:30-0:30" "17:30-0:30" "17:30-0:30" "17:30-0:30" "17:30-0:30" "17:30-0:30" "17:30-0:30" 12
"543" "-chGaXHZsoLKLHPJMMsdmw" "ON" "Utopia Café & Grill" 3.5 -79.4134465 43.6553217 TRUE FALSE "no" FALSE 226 "9:00-23:00" "11:30-0:00" "11:30-0:00" "11:30-0:00" "11:30-1:00" "12:00-1:00" "12:00-0:00" 319
"549" "-cKjQJsU73tLKFA4unJbww" "PA" "QDOBA Mexican Eats" 3 -79.9472308159 40.4535887305 FALSE FALSE "no" FALSE 15 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-21:00" 147
"553" "-CLTZ0cO-ooKDDmXHFoGMg" "ON" "Pi Co" 3.5 -79.3898095 43.6700032 TRUE FALSE "no" TRUE 49 "11:00-22:00" "11:00-22:00" "11:00-22:00" "11:00-23:00" "11:00-23:00" "11:00-23:00" "11:00-22:00" 60
